99,119500,1/27/2009,Listed
99,129900,9/9/2008,Listed
100,138500,9/13/2018,Listed
100,88500,12/21/2016,Sold
100,99900,8/29/2016,Price Changed
100,104900,6/23/2016,Listed
100,35000,7/27/2013,Sold
100,35000,6/13/2013,Listed
101,144000,11/20/2018,Listed
101,124900,9/17/2015,Sold
101,124900,6/18/2015,Sold
101,124900,5/6/2015,Listed
101,124900,10/30/2001,Sold
101,98000,11/16/1999,Sold
102,139900,11/13/2018,Listed
102,69900,3/16/2010,Listed
102,90000,4/1/2004,Sold
102,52400,2/24/1999,Sold
102,35000,4/2/1997,Sold
103,135000,2/6/2019,Price Changed
103,79900,8/15/2018,Relisted
103,79900,8/9/2018,Listed
103,220000,8/6/2010,Price Changed
103,222500,6/8/2010,Price Changed
103,229500,3/4/2010,Price Changed
103,234900,1/23/2010,Listed
103,242300,7/19/2005,Sold
104,139900,10/26/2018,Listed
104,123000,4/11/2005,Sold
105,144500,2/11/2019,Relisted
105,144500,2/6/2019,Relisted
105,157000,1/19/2019,Relisted
105,157000,1/3/2019,Relisted
105,163000,8/23/2018,Relisted
105,165500,7/27/2018,Price Changed
105,169500,7/16/2018,Relisted
105,179900,6/28/2018,Relisted
106,138900,2/4/2019,Price Changed
106,139900,12/11/2018,Price Changed
106,142900,12/7/2018,Price Changed
106,144900,11/27/2018,Price Changed
106,145900,11/20/2018,Price Changed
106,146900,11/13/2018,Price Changed
106,148900,10/30/2018,Price Changed
106,149900,10/23/2018,Price Changed
107,139900,1/24/2019,Price Changed
107,151500,11/5/2018,Price Changed
107,179900,10/1/2018,Price Changed
107,189900,4/4/2018,Listed
107,172800,10/2/2006,Sold
107,147900,1/20/2006,Sold
107,118000,10/14/2005,Sold
108,142900,2/6/2019,Price Changed
108,143000,6/25/2015,Sold
108,143900,5/16/2015,Price Changed
108,144400,5/9/2015,Price Changed
108,144900,4/27/2015,Price Changed
108,149900,12/25/2014,Listed
108,169900,8/28/2014,Price Changed
108,164900,8/25/2014,Price Changed
109,149000,2/12/2019,Listed
109,144900,7/14/2004,Sold
109,122500,7/8/2002,Sold
110,149900,2/10/2019,Listed
111,150000,2/11/2019,Listed
111,90000,8/20/2015,Sold
111,94900,7/7/2015,Listed
111,86000,11/12/2009,Sold
111,95000,9/4/2009,Listed
112,149900,2/11/2019,Relisted
112,163277,4/20/2007,Sold
112,102900,5/15/2003,Sold
112,123000,9/27/2001,Sold
112,78000,1/25/2001,Sold
112,43500,10/10/1997,Sold
113,154900,2/8/2019,Listed
114,150000,2/7/2019,Listed
114,99900,6/18/2008,Sold
115,149900,2/8/2019,Listed
115,145000,11/17/2006,Sold
116,149900,1/26/2019,Price Changed
116,129900,1/25/2019,Listed
116,580000,3/8/2016,Sold
116,580000,5/15/2013,Sold
116,23000,3/9/2010,Sold
116,28500,1/28/2010,Relisted
116,28500,12/20/2009,Relisted
116,29900,11/17/2009,Listed
